fulltext_id,source_id,doi,title,fulltext_type,fulltext_url,local_path,fetch_status,failure_reason,content_hash,content_bytes,media_type,http_status,url_source,content_scope,validation_note,is_primary,acquisition_step,version_type,version_relation,related_source_id,created_at,updated_at,last_checked_at
FT_1C8816CD2EAC71BC76C9,LIT_02AF728DA15F27C8,10.1155/2013/785160,Carbon Nanotubes Synthesis via Arc Discharge with a Yttria Catalyst,html,https://doi.org/10.1155/2013/785160,,failed,http_403,,0,text/html; charset=UTF-8,403,unpaywall.best_oa_location,unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T05:31:51Z,2026-07-16T05:31:51Z,2026-07-16T05:31:51Z
FT_B601D6626298BF341FF0,LIT_02AF728DA15F27C8,10.1155/2013/785160,Carbon Nanotubes Synthesis via Arc Discharge with a Yttria Catalyst,pdf,https://downloads.hindawi.com/archive/2013/785160.pdf,,failed,http_403,,0,text/html; charset=UTF-8,403,openalex,unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T05:31:50Z,2026-07-16T05:31:50Z,2026-07-16T05:31:50Z
FT_D7AF3B987C4E04345DD3,LIT_02F3CC774E37BDAD,10.1016/j.carbon.2022.04.020,Towards the synthesis of semiconducting single-walled carbon nanotubes by floating-catalyst chemical vapor deposition: Challenges of reproducibility,html,https://doi.org/10.1016/j.carbon.2022.04.020,,skipped,html_landing_page_not_fulltext,,0,text/html;charset=UTF-8,200,unpaywall.normalized.html_url,landing_page,visible_chars=11; scholarly_markers=0; article_tag=False,0,2,published,same_record,,2026-07-16T17:44:52Z,2026-07-16T17:44:52Z,2026-07-16T17:44:52Z
FT_2864FC0221FE3DB7DF74,LIT_02F3CC774E37BDAD,10.1016/j.carbon.2022.04.020,Towards the synthesis of semiconducting single-walled carbon nanotubes by floating-catalyst chemical vapor deposition: Challenges of reproducibility,html,https://research.aalto.fi/en/publications/b516aca8-cb37-47a3-98ad-4e7516026e94,,skipped,html_landing_page_not_fulltext,,0,text/html;charset=UTF-8,200,unpaywall.oa_locations[1],landing_page,visible_chars=14924; scholarly_markers=1; article_tag=False,0,2,published,same_record,,2026-07-16T04:37:11Z,2026-07-16T17:44:56Z,2026-07-16T17:44:56Z
FT_912DBB8640858542120E,LIT_02F3CC774E37BDAD,10.1016/j.carbon.2022.04.020,Towards the synthesis of semiconducting single-walled carbon nanotubes by floating-catalyst chemical vapor deposition: Challenges of reproducibility,html,https://www.semanticscholar.org/paper/f2e0c2c79a6ded6b23cb08e0b3636f82e0cbc248,,skipped,html_landing_page_not_fulltext,,0,text/html; charset=UTF-8,202,semantic_scholar.normalized.html_url,landing_page,visible_chars=0; scholarly_markers=0; article_tag=False,0,3,published,same_record,,2026-07-16T17:44:56Z,2026-07-16T17:44:56Z,2026-07-16T17:44:56Z
FT_11D510D858825F0A1B75,LIT_02F3CC774E37BDAD,10.1016/j.carbon.2022.04.020,Towards the synthesis of semiconducting single-walled carbon nanotubes by floating-catalyst chemical vapor deposition: Challenges of reproducibility,pdf,https://doi.org/10.1016/j.carbon.2022.04.020,,skipped,html_landing_page_not_fulltext,,0,text/html;charset=UTF-8,200,semantic_scholar,landing_page,visible_chars=11; scholarly_markers=0; article_tag=False,0,0,unknown_legacy,not_assessed,,2026-07-16T04:37:08Z,2026-07-16T04:37:08Z,2026-07-16T04:37:08Z
FT_C187253020F27C4A3CF3,LIT_02F3CC774E37BDAD,10.1016/j.carbon.2022.04.020,Towards the synthesis of semiconducting single-walled carbon nanotubes by floating-catalyst chemical vapor deposition: Challenges of reproducibility,pdf,https://research.aalto.fi/files/82342445/Towards_the_synthesis_of_semiconducting_single_walled_carbon_nanotubes_by_floating_catalyst_chemical_vapor_deposition.pdf,,failed,http_403,,0,text/html; charset=UTF-8,403,unpaywall.oa_locations[1]:html_discovery,unknown,,0,2,published,same_record,,2026-07-16T04:37:12Z,2026-07-16T17:44:56Z,2026-07-16T17:44:56Z
FT_13997ABD0AEF570B52BB,LIT_03486C8855010A7C,10.1016/j.carbon.2010.06.045,Dynamics of catalyst particle formation and multi-walled carbon nanotube growth in aerosol-assisted catalytic chemical vapor deposition,html,https://doi.org/10.1016/j.carbon.2010.06.045,,skipped,html_landing_page_not_fulltext,,0,text/html;charset=UTF-8,200,doi_resolver,landing_page,visible_chars=11; scholarly_markers=0; article_tag=False,0,0,unknown_legacy,not_assessed,,2026-07-16T05:45:40Z,2026-07-16T05:45:40Z,2026-07-16T05:45:40Z
FT_7C4BC4777D7A73ECDBB3,LIT_03486C8855010A7C,10.1016/j.carbon.2010.06.045,Dynamics of catalyst particle formation and multi-walled carbon nanotube growth in aerosol-assisted catalytic chemical vapor deposition,html,https://www.semanticscholar.org/paper/05598c271c24fb86fb4b7a50336771b8ab4fd079,,skipped,html_landing_page_not_fulltext,,0,text/html; charset=UTF-8,202,semantic_scholar,landing_page,visible_chars=0; scholarly_markers=0; article_tag=False,0,0,unknown_legacy,not_assessed,,2026-07-16T05:45:40Z,2026-07-16T05:45:40Z,2026-07-16T05:45:40Z
FT_6A026BB93099CD1DA920,LIT_03E8C349BB2F5C13,10.1021/ja901295j,Carbon Nanotube Growth from Diamond,html,https://doi.org/10.1021/ja901295j,,failed,http_403,,0,text/html; charset=UTF-8,403,doi_resolver,unknown,,0,0,unknown_legacy,not_assessed,,2026-07-16T05:47:17Z,2026-07-16T05:47:17Z,2026-07-16T05:47:17Z
